Flag dimension data
234 23 14
- 1 1
ad 20 12
ae 20 12
af 18 12
ag 20 12
ai 20 12
al 18 12
am 18 12
an 18 12
ao 18 12
aq 20 12
ar 18 12
as 23 12
at 18 12
au 18 12
aw 18 12
az 18 12
ba 18 12
bb 18 12
bd 18 12
be 18 12
bf 18 12
bg 18 12
bh 18 12
bi 18 12
bj 18 12
bm 18 12
bn 18 12
bo 18 12
br 18 12
bs 18 12
bt 18 12
bv 20 12
bw 18 12
by 18 12
bz 18 12
ca 18 12
cd 20 12
cf 18 12
cg 18 12
ch 18 12
ci 18 12
ck 18 12
cl 21 13
cm 18 12
cn 18 12
co 18 12
cr 18 12
cs 18 12
cu 18 12
cv 18 12
cy 18 12
cz 18 12
de 18 12
dj 20 12
dk 18 12
dm 20 12
do 20 12
dz 18 12
ec 18 12
ee 18 12
eg 18 12
er 18 12
es 18 12
et 18 12
eu 18 12
fi 18 12
fj 18 12
fk 22 11
fm 20 12
fo 18 12
fr 18 12
ga 18 12
gb 18 12
gd 20 12
ge 18 12
gh 20 12
gi 18 12
gl 18 12
gm 20 12
gn 20 12
gp 18 12
gq 20 12
gr 18 12
gt 18 12
gu 18 12
gw 20 12
gy 18 12
hk 18 12
hm 22 11
hn 20 12
hr 18 12
ht 18 12
hu 18 12
id 18 12
ie 18 12
il 18 12
im 18 12
in 18 12
io 22 11
iq 18 12
ir 18 12
is 18 12
it 18 12
je 18 12
jm 18 12
jo 18 12
jp 18 12
ke 18 12
kg 18 12
kh 18 12
ki 18 12
km 20 12
kn 20 12
kp 18 12
kr 18 12
kw 20 12
ky 18 12
kz 18 12
la 20 12
lb 18 12
lc 18 12
li 20 12
lk 18 12
lr 20 12
ls 18 12
lt 21 13
lu 18 12
lv 18 12
ly 18 12
ma 21 13
mc 18 12
md 18 12
mg 18 12
mh 22 11
mk 18 12
ml 20 12
mm 20 12
mn 18 12
mo 18 12
mp 18 12
mq 18 12
mr 20 12
ms 18 12
mt 18 12
mu 20 12
mv 20 12
mw 20 12
mx 18 12
my 18 12
mz 18 12
na 18 12
nc 18 12
ne 20 12
nf 18 12
ng 20 12
ni 20 12
nl 18 12
no 18 12
np 18 12
nr 18 12
nz 18 12
om 18 12
pa 18 12
pe 18 12
pf 18 12
pg 20 12
ph 18 12
pk 18 12
pl 18 12
pm 18 12
pr 18 12
ps 18 12
pt 18 12
pw 18 12
py 18 12
qa 18 12
re 18 12
ro 18 12
ru 18 12
rw 20 12
sa 18 12
sb 18 12
sc 20 12
sd 18 12
se 18 12
sg 18 12
si 18 12
sk 18 12
sl 18 12
sm 18 12
sn 20 12
so 18 12
sr 9 14
st 20 12
sv 20 12
sy 22 13
sz 18 12
tc 18 12
td 20 12
tf 18 12
tg 18 12
th 18 12
tj 20 12
tm 20 12
tn 18 12
to 18 12
tp 18 12
tr 18 12
tt 18 12
tv 18 12
tw 18 12
tz 18 12
ua 18 12
ug 18 12
uk 20 12
um 21 11
us 18 12
uy 18 12
uz 20 12
va 18 12
vc 20 12
ve 18 12
vg 18 12
vi 18 12
vn 18 12
vu 20 12
ws 18 12
ye 18 12
yu 18 12
za 18 12
zm 20 12
zr 20 12
zw 18 12
